player,pos,injury_history,current_status_2026-09-04,lingering_flag,source_url,date
Bijan Robinson,RB,no time-loss injuries:2023-2025,Healthy; hold-in resolved with record RB extension; full go for Week 1.,none,https://www.espn.com/nfl/story/_/id/49490010/2026-training-camp-holdin-tracking-updates-bijan-robinson-jahmyr-gibbs-vita-vea-tuli-tuipulotu,2026-09-04
Jahmyr Gibbs,RB,hamstring (2 games):2023; hamstring (camp):2024,Healthy; hold-in resolved with extension; unquestioned lead with Montgomery traded and Pacheco on IR.,none,https://www.espn.com/nfl/story/_/id/49490010/2026-training-camp-holdin-tracking-updates-bijan-robinson-jahmyr-gibbs-vita-vea-tuli-tuipulotu,2026-09-04
Amon-Ra St. Brown,WR,"ankle (1 game):2022; abdomen (1 game):2023; ankle (Dec, played):2025",UNVERIFIED for 2026 (no Sept-2026 search snippet retrieved; session search budget exhausted). Pre-June-2026 history from general knowledge. Assumed healthy.,none,https://www.si.com/onsi/fantasy/rankings/ladd-mcconkey-leads-third-year-wide-receivers-poised-for-a-fantasy-football-breakout-in-2026 (2025 usage only),2026-09-04
Jaxon Smith-Njigba,WR,wrist fracture (preseason):2023,UNVERIFIED for 2026 (no Sept-2026 search snippet retrieved; session search budget exhausted). Pre-June-2026 history from general knowledge. Assumed healthy (2025 OPOY).,none,https://en.wikipedia.org/wiki/Jaxon_Smith-Njigba (2025 award only),2026-09-04
MarShawn Lloyd,RB,hamstring (camp) + ankle + appendicitis (IR; 1 career game):2024; hamstring (missed season):2025,Healthy; GB lead back with Jacobs on exempt list; biggest ADP riser; 1 career NFL game entering 2026.,soft-tissue,https://www.fantasylife.com/articles/fantasy/josh-jacobs-update-fantasy-football-marshawn-lloyd-kaleb-johnson ; https://sports.yahoo.com/fantasy/article/2026-fantasy-football-marshawn-lloyd-treveyon-henderson-among-biggest-adp-risers-fallers-as-of-sept-1-142718983.html,2026-09-04
Jadarian Price,RB,"Achilles rupture (Notre Dame, preseason):2022; lower-body soreness (camp):2026","Rookie (#32, SEA). Healthy; Week 1 starter with Charbonnet on PUP and Walker gone; in tandem with George Holani.",none,https://heavy.com/sports/nfl/seattle-seahawks/zach-charbonnet-injury-update-reserve-pup/ ; https://sports.yahoo.com/fantasy/article/fantasy-football-justin-boones-backup-running-back-rankings-for-2026-171400772.html,2026-09-04
Josh Allen,QB,UCL elbow sprain (played):2022,UNVERIFIED for 2026 (no Sept-2026 search snippet retrieved; session search budget exhausted). Pre-June-2026 history from general knowledge. Assumed healthy.,none,https://fantasydata.com/nfl/josh-allen-fantasy/19801 (2025 stats only),2026-09-04
Drake Maye,QB,concussion (1 game):2024,UNVERIFIED for 2026 (no Sept-2026 search snippet retrieved; session search budget exhausted). Pre-June-2026 history from general knowledge. Assumed healthy.,none,https://fantasydata.com/nfl/drake-maye-fantasy/24958 (2025 stats only),2026-09-04
Matthew Stafford,QB,"concussion + spinal cord bruise (8 games):2022; thumb (1 game):2023; back / aggravated disc (camp, played all 17, MVP):2025",UNVERIFIED for 2026 (no Sept-2026 search snippet retrieved; session search budget exhausted). Pre-June-2026 history from general knowledge. Assumed healthy; age 38; back disc history is the standing flag.,back,https://www.si.com/nfl/nfl-2025-stat-leaders-matthew-stafford-numbers-dont-lie (2025 stats only),2026-09-04
Trevor Lawrence,QB,"ankle/knee/concussion (played 16):2023; AC joint shoulder (2 games) + concussion (Dec 1, season over):2024",UNVERIFIED for 2026 (no Sept-2026 search snippet retrieved; session search budget exhausted). Pre-June-2026 history from general knowledge. Assumed healthy (17 games in 2025).,none,https://www.si.com/nfl/every-starting-nfl-quarterback-2026-season-updated-weekly (starter only),2026-09-04
Dak Prescott,QB,"thumb fracture (5 games):2022; hamstring avulsion surgery (Nov, 9 games):2024",UNVERIFIED for 2026 (no Sept-2026 search snippet retrieved; session search budget exhausted). Pre-June-2026 history from general knowledge. Assumed healthy (17 games in 2025).,none,https://www.rotowire.com/football/player/dak-prescott-11008 (2025 stats only),2026-09-04
Kyler Murray,QB,"torn ACL (Dec 12):2022; returned Week 10:2023; foot sprain (IR, ~8+ games; Brissett took over):2025","Released by ARI, signed MIN as starter (McCarthy benched); healthy per 2026 snippets.",none,https://www.espn.com/nfl/story/_/id/48163697/nfl-minnesota-vikings-arizona-cardinals-free-agency-kyler-murray-jj-mccarthy,2026-09-04
Jaxson Dart,QB,"concussion (Nov vs CHI) + second concussion (Dec, season over):2025",UNVERIFIED for 2026 (no Sept-2026 search snippet retrieved; session search budget exhausted). Pre-June-2026 history from general knowledge. Assumed healthy; two 2025 concussions are the standing flag.,none,https://www.si.com/onsi/fantasy/rankings/jaxson-dart-and-the-best-second-year-fantasy-football-breakout-candidates-for-2026 (outlook only),2026-09-04
